25,10,2,23
29,11,3,26
15,6,1,14
7,2,0,7
16,6,2,14
22,8,2,20
8,3,0,8
13,5,1,12
16,6,2,14
15,6,1,14
21,8,2,19
27,10,3,24
16,6,1,15
28,11,3,25
17,6,1,16
11,4,1,10
23,9,2,21
22,8,2,20
27,10,3,24
15,6,1,14
22,8,2,20
23,9,2,21
14,5,1,13
22,8,2,20
9,3,1,8
21,8,2,19
17,6,1,16
20,8,2,18
9,3,1,8
27,10,3,24
6,2,0,6
27,10,2,25
26,10,2,24
16,6,1,15
10,4,1,9
29,11,2,27
29,11,2,27
15,6,1,14
6,2,0,6
12,4,1,11
9,3,1,8
25,10,2,23
19,7,2,17
7,2,0,7
10,4,1,9
6,2,0,6
18,7,2,16
25,10,3,22
5,2,0,5
24,9,3,21
11,4,1,10
18,7,1,17
21,8,2,19
5,2,0,5
21,8,2,19
6,2,0,6
13,5,1,12
13,5,1,12
8,3,0,8
23,9,2,21
15,6,1,14
7,2,0,7
5,2,0,5
18,7,1,17
13,5,1,12
27,10,3,24
17,6,1,16
5,2,0,5
29,11,3,26
14,5,1,13
23,9,2,21
27,10,2,25
17,6,2,15
10,4,1,9
27,10,3,24
22,8,2,20
29,11,3,26
16,6,1,15
25,10,3,22
13,5,1,12
23,9,2,21
21,8,2,19
28,11,3,25
10,4,1,9
5,2,0,5
20,8,2,18
6,2,0,6
5,2,0,5
13,5,1,12
25,10,3,22
20,8,2,18
12,4,1,11
13,5,1,12
22,8,2,20
16,6,2,14
15,6,1,14
9,3,1,8
22,8,2,20
19,7,2,17
14,5,1,13
7,2,0,7
30,12,3,27
30,12,3,27
21,8,2,19
9,3,1,8
16,6,2,14
6,2,0,6
8,3,0,8
25,10,2,23
28,11,3,25
23,9,2,21
21,8,2,19
14,5,1,13
11,4,1,10
23,9,2,21
23,9,2,21
25,10,3,22
24,9,3,21
30,12,3,27
23,9,2,21
29,11,2,27
21,8,2,19
11,4,1,10
27,10,3,24
24,9,2,22
15,6,1,14
7,2,0,7
27,10,2,25
18,7,1,17
24,9,2,22
13,5,1,12
21,8,2,19
28,11,3,25
13,5,1,12
20,8,2,18
9,3,0,9
18,7,2,16
18,7,2,16
16,6,2,14
14,5,1,13
27,10,3,24
28,11,2,26
16,6,2,14
5,2,0,5
25,10,3,22
30,12,3,27
27,10,3,24
17,6,1,16
13,5,1,12
19,7,2,17
21,8,2,19
20,8,2,18
13,5,1,12
25,10,2,23
29,11,2,27
26,10,3,23
10,4,1,9
20,8,2,18
18,7,1,17
20,8,2,18
11,4,1,10
14,5,1,13
8,3,0,8
26,10,2,24
24,9,3,21
23,9,2,21
16,6,1,15
11,4,1,10
13,5,1,12
18,7,1,17
15,6,1,14
30,12,3,27
25,10,2,23
29,11,3,26
8,3,0,8
9,3,0,9
17,6,1,16
10,4,1,9
26,10,2,24
5,2,0,5
10,4,1,9
22,8,2,20
13,5,1,12
29,11,3,26
25,10,3,22
6,2,0,6
10,4,1,9
12,4,1,11
7,2,0,7
21,8,2,19
8,3,0,8
14,5,1,13
16,6,1,15
29,11,3,26
12,4,1,11
6,2,0,6
13,5,1,12
11,4,1,10
7,2,0,7
13,5,1,12
18,7,1,17
22,8,2,20
9,3,0,9
5,2,0,5
18,7,2,16
18,7,1,17
26,10,3,23
24,9,2,22
23,9,2,21
22,8,2,20
27,10,3,24
15,6,1,14
6,2,0,6
11,4,1,10
20,8,2,18
6,2,0,6
25,10,3,22
12,4,1,11
24,9,2,22
22,8,2,20
18,7,2,16
13,5,1,12
23,9,2,21
14,5,1,13
24,9,3,21
15,6,1,14
22,8,2,20
26,10,2,24
27,10,3,24
24,9,3,21
24,9,3,21
14,5,1,13
7,2,0,7
17,6,1,16
23,9,2,21
30,12,3,27
13,5,1,12
11,4,1,10
25,10,3,22
12,4,1,11
28,11,3,25
15,6,1,14
27,10,3,24
17,6,1,16
24,9,2,22
14,5,1,13
22,8,2,20
21,8,2,19
8,3,0,8
12,4,1,11
17,6,1,16
19,7,2,17
18,7,2,16
8,3,0,8
5,2,0,5
5,2,0,5
16,6,1,15
8,3,0,8
23,9,2,21
27,10,3,24
5,2,0,5
10,4,1,9
19,7,2,17
20,8,2,18
11,4,1,10
30,12,3,27
18,7,1,17
16,6,2,14
13,5,1,12
10,4,1,9
8,3,0,8
7,2,0,7
13,5,1,12
14,5,1,13
14,5,1,13
24,9,3,21
14,5,1,13
22,8,2,20
20,8,2,18
11,4,1,10
30,12,3,27
20,8,2,18
22,8,2,20
20,8,2,18
25,10,2,23
10,4,1,9
18,7,2,16
17,6,1,16
26,10,2,24
29,11,3,26
12,4,1,11
13,5,1,12
29,11,3,26
15,6,1,14
29,11,2,27
15,6,1,14
10,4,1,9
11,4,1,10
6,2,0,6
5,2,0,5
28,11,2,26
12,4,1,11
22,8,2,20
8,3,0,8
8,3,0,8
22,8,2,20
15,6,1,14
22,8,2,20
14,5,1,13
19,7,2,17
16,6,1,15
5,2,0,5
7,2,0,7
12,4,1,11
16,6,2,14
17,6,1,16
20,8,2,18
10,4,1,9
19,7,2,17
22,8,2,20
7,2,0,7
30,12,3,27
12,4,1,11
7,2,0,7
10,4,1,9
13,5,1,12
27,10,2,25
10,4,1,9
25,10,3,22
11,4,1,10
7,2,0,7
10,4,1,9
30,12,3,27
20,8,2,18
12,4,1,11
21,8,2,19
22,8,2,20
23,9,2,21
6,2,0,6
13,5,1,12
12,4,1,11
14,5,1,13
18,7,1,17
8,3,0,8
22,8,2,20
28,11,2,26
14,5,1,13
15,6,1,14
19,7,2,17
20,8,2,18
7,2,0,7
6,2,0,6
11,4,1,10
8,3,1,7
18,7,1,17
28,11,3,25
29,11,3,26
15,6,1,14
5,2,0,5
18,7,2,16
10,4,1,9
12,4,1,11
29,11,3,26
11,4,1,10
30,12,3,27
13,5,1,12
26,10,2,24
27,10,3,24
10,4,1,9
8,3,0,8
26,10,3,23
12,4,1,11
21,8,2,19
26,10,2,24
28,11,3,25
28,11,2,26
22,8,2,20
7,2,0,7
24,9,2,22
16,6,1,15
28,11,3,25
23,9,2,21
21,8,2,19
23,9,2,21
25,10,3,22
7,2,0,7
15,6,1,14
30,12,3,27
19,7,2,17
10,4,1,9
8,3,0,8
18,7,2,16
21,8,2,19
29,11,3,26
21,8,2,19
5,2,0,5
25,10,2,23
18,7,1,17
8,3,0,8
7,2,0,7
21,8,2,19
9,3,0,9
27,10,2,25
14,5,1,13
11,4,1,10
27,10,3,24
9,3,0,9
22,8,2,20
9,3,1,8
20,8,2,18
24,9,3,21
7,2,0,7
17,6,1,16
9,3,1,8
18,7,2,16
17,6,1,16
22,8,2,20
6,2,0,6
29,11,3,26
20,8,2,18
13,5,1,12
26,10,2,24
28,11,3,25
25,10,3,22
26,10,2,24
28,11,3,25
14,5,1,13
15,6,1,14
26,10,3,23
28,11,3,25
27,10,2,25
13,5,1,12
12,4,1,11
24,9,3,21
18,7,2,16
14,5,1,13
13,5,1,12
28,11,3,25
22,8,2,20
27,10,3,24
23,9,2,21
5,2,0,5
14,5,1,13
20,8,2,18
19,7,2,17
8,3,1,7
16,6,1,15
28,11,3,25
20,8,2,18
27,10,2,25
25,10,2,23
11,4,1,10
8,3,0,8
10,4,1,9
22,8,2,20
14,5,1,13
27,10,3,24
14,5,1,13
24,9,2,22
23,9,2,21
