nacidos-sanos-complicaciones-enfermos-mortalidad-natalidad
8,6,3,2,0,8
13,10,5,3,1,12
28,22,11,6,2,26
22,17,8,5,2,20
7,5,2,2,0,7
15,12,6,3,1,14
5,4,2,1,0,5
14,11,5,3,1,13
8,6,3,2,0,8
8,6,3,2,0,8
13,10,5,3,1,12
14,11,5,3,1,13
13,10,5,3,1,12
20,16,8,4,2,18
10,8,4,2,1,9
19,15,7,4,1,18
30,24,12,6,3,27
20,16,8,4,2,18
29,23,11,6,3,26
22,17,8,5,2,20
21,16,8,5,2,19
30,24,12,6,3,27
7,5,2,2,0,7
11,8,4,3,1,10
15,12,6,3,1,14
7,5,2,2,0,7
23,18,9,5,2,21
11,8,4,3,1,10
23,18,9,5,2,21
30,24,12,6,3,27
15,12,6,3,1,14
6,4,2,2,0,6
15,12,6,3,1,14
25,20,10,5,3,22
22,17,8,5,2,20
7,5,2,2,0,7
27,21,10,6,3,24
15,12,6,3,1,14
14,11,5,3,1,13
6,4,2,2,0,6
6,4,2,2,0,6
10,8,4,2,1,9
28,22,11,6,3,25
18,14,7,4,2,16
27,21,10,6,3,24
21,16,8,5,2,19
11,8,4,3,1,10
21,16,8,5,2,19
30,24,12,6,3,27
7,5,2,2,0,7
10,8,4,2,1,9
5,4,2,1,0,5
28,22,11,6,2,26
12,9,4,3,1,11
12,9,4,3,1,11
16,12,6,4,1,15
19,15,7,4,1,18
9,7,3,2,0,9
13,10,5,3,1,12
23,18,9,5,2,21
28,22,11,6,3,25
14,11,5,3,1,13
22,17,8,5,2,20
11,8,4,3,1,10
16,12,6,4,1,15
24,19,9,5,3,21
25,20,10,5,3,22
17,13,6,4,1,16
15,12,6,3,1,14
12,9,4,3,1,11
8,6,3,2,0,8
25,20,10,5,3,22
28,22,11,6,3,25
8,6,3,2,1,7
12,9,4,3,1,11
6,4,2,2,0,6
9,7,3,2,1,8
14,11,5,3,1,13
27,21,10,6,3,24
7,5,2,2,0,7
15,12,6,3,1,14
25,20,10,5,3,22
8,6,3,2,1,7
8,6,3,2,0,8
18,14,7,4,1,17
26,20,10,6,2,24
30,24,12,6,3,27
5,4,2,1,0,5
7,5,2,2,0,7
16,12,6,4,1,15
11,8,4,3,1,10
27,21,10,6,3,24
16,12,6,4,1,15
25,20,10,5,2,23
5,4,2,1,0,5
23,18,9,5,2,21
5,4,2,1,0,5
17,13,6,4,2,15
10,8,4,2,1,9
5,4,2,1,0,5
18,14,7,4,1,17
6,4,2,2,0,6
20,16,8,4,2,18
17,13,6,4,2,15
27,21,10,6,3,24
29,23,11,6,3,26
21,16,8,5,2,19
18,14,7,4,2,16
29,23,11,6,3,26
30,24,12,6,3,27
6,4,2,2,0,6
28,22,11,6,3,25
8,6,3,2,0,8
9,7,3,2,1,8
18,14,7,4,2,16
20,16,8,4,2,18
12,9,4,3,1,11
27,21,10,6,3,24
14,11,5,3,1,13
5,4,2,1,0,5
27,21,10,6,3,24
29,23,11,6,2,27
9,7,3,2,0,9
16,12,6,4,2,14
6,4,2,2,0,6
6,4,2,2,0,6
17,13,6,4,2,15
17,13,6,4,2,15
5,4,2,1,0,5
20,16,8,4,2,18
14,11,5,3,1,13
12,9,4,3,1,11
27,21,10,6,3,24
10,8,4,2,1,9
15,12,6,3,1,14
12,9,4,3,1,11
25,20,10,5,3,22
14,11,5,3,1,13
22,17,8,5,2,20
14,11,5,3,1,13
22,17,8,5,2,20
6,4,2,2,0,6
22,17,8,5,2,20
25,20,10,5,2,23
28,22,11,6,3,25
18,14,7,4,1,17
30,24,12,6,3,27
11,8,4,3,1,10
5,4,2,1,0,5
20,16,8,4,2,18
27,21,10,6,3,24
24,19,9,5,3,21
18,14,7,4,2,16
19,15,7,4,1,18
27,21,10,6,3,24
24,19,9,5,3,21
8,6,3,2,0,8
18,14,7,4,1,17
17,13,6,4,1,16
29,23,11,6,2,27
30,24,12,6,3,27
16,12,6,4,2,14
10,8,4,2,1,9
13,10,5,3,1,12
19,15,7,4,2,17
14,11,5,3,1,13
29,23,11,6,3,26
9,7,3,2,1,8
12,9,4,3,1,11
7,5,2,2,0,7
29,23,11,6,3,26
26,20,10,6,2,24
12,9,4,3,1,11
30,24,12,6,3,27
17,13,6,4,2,15
7,5,2,2,0,7
19,15,7,4,1,18
19,15,7,4,1,18
26,20,10,6,2,24
5,4,2,1,0,5
19,15,7,4,2,17
23,18,9,5,2,21
24,19,9,5,2,22
25,20,10,5,2,23
8,6,3,2,0,8
17,13,6,4,1,16
17,13,6,4,1,16
13,10,5,3,1,12
20,16,8,4,2,18
14,11,5,3,1,13
17,13,6,4,2,15
26,20,10,6,2,24
29,23,11,6,3,26
8,6,3,2,0,8
7,5,2,2,0,7
19,15,7,4,2,17
6,4,2,2,0,6
6,4,2,2,0,6
5,4,2,1,0,5
10,8,4,2,1,9
5,4,2,1,0,5
9,7,3,2,0,9
16,12,6,4,1,15
18,14,7,4,2,16
12,9,4,3,1,11
30,24,12,6,3,27
25,20,10,5,3,22
8,6,3,2,0,8
27,21,10,6,2,25
24,19,9,5,2,22
22,17,8,5,2,20
17,13,6,4,2,15
15,12,6,3,1,14
24,19,9,5,3,21
28,22,11,6,3,25
6,4,2,2,0,6
8,6,3,2,0,8
30,24,12,6,3,27
12,9,4,3,1,11
7,5,2,2,0,7
21,16,8,5,2,19
26,20,10,6,3,23
19,15,7,4,1,18
29,23,11,6,3,26
27,21,10,6,2,25
25,20,10,5,3,22
23,18,9,5,2,21
30,24,12,6,3,27
12,9,4,3,1,11
6,4,2,2,0,6
25,20,10,5,2,23
10,8,4,2,1,9
8,6,3,2,1,7
5,4,2,1,0,5
25,20,10,5,3,22
13,10,5,3,1,12
26,20,10,6,2,24
9,7,3,2,0,9
15,12,6,3,1,14
25,20,10,5,3,22
20,16,8,4,2,18
7,5,2,2,0,7
15,12,6,3,1,14
5,4,2,1,0,5
10,8,4,2,1,9
17,13,6,4,2,15
8,6,3,2,1,7
23,18,9,5,2,21
13,10,5,3,1,12
13,10,5,3,1,12
14,11,5,3,1,13
25,20,10,5,2,23
5,4,2,1,0,5
11,8,4,3,1,10
8,6,3,2,0,8
26,20,10,6,3,23
17,13,6,4,1,16
26,20,10,6,2,24
16,12,6,4,2,14
30,24,12,6,3,27
6,4,2,2,0,6
27,21,10,6,2,25
8,6,3,2,1,7
15,12,6,3,1,14
7,5,2,2,0,7
7,5,2,2,0,7
18,14,7,4,1,17
10,8,4,2,1,9
15,12,6,3,1,14
16,12,6,4,1,15
24,19,9,5,2,22
18,14,7,4,1,17
11,8,4,3,1,10
15,12,6,3,1,14
17,13,6,4,1,16
30,24,12,6,3,27
24,19,9,5,3,21
30,24,12,6,3,27
20,16,8,4,2,18
14,11,5,3,1,13
6,4,2,2,0,6
5,4,2,1,0,5
9,7,3,2,1,8
6,4,2,2,0,6
10,8,4,2,1,9
26,20,10,6,2,24
23,18,9,5,2,21
30,24,12,6,3,27
19,15,7,4,2,17
19,15,7,4,2,17
9,7,3,2,0,9
7,5,2,2,0,7
26,20,10,6,2,24
9,7,3,2,1,8
29,23,11,6,3,26
15,12,6,3,1,14
19,15,7,4,1,18
7,5,2,2,0,7
13,10,5,3,1,12
27,21,10,6,3,24
6,4,2,2,0,6
18,14,7,4,2,16
22,17,8,5,2,20
28,22,11,6,3,25
17,13,6,4,1,16
30,24,12,6,3,27
27,21,10,6,3,24
22,17,8,5,2,20
20,16,8,4,2,18
16,12,6,4,1,15
17,13,6,4,2,15
21,16,8,5,2,19
12,9,4,3,1,11
9,7,3,2,0,9
5,4,2,1,0,5
23,18,9,5,2,21
21,16,8,5,2,19
25,20,10,5,3,22
14,11,5,3,1,13
14,11,5,3,1,13
14,11,5,3,1,13
26,20,10,6,3,23
27,21,10,6,2,25
30,24,12,6,3,27
22,17,8,5,2,20
