edad, fidico(1-10), habilidades(1-10), velocidad(1-10), Juega o no(0,1)
21,10,10,5,1
23,5,5,9,0
28,7,8,6,1
28,5,7,6,1
16,6,7,8,1
20,8,8,9,1
20,8,9,10,1
38,5,5,6,0
39,5,5,6,0
30,7,9,6,1
17,8,4,6,1
16,8,4,9,1
32,5,4,6,0
29,5,6,8,1
38,5,4,5,0
32,5,5,3,0
18,7,5,10,1
27,8,5,6,1
24,8,6,10,1
13,5,6,6,1
17,7,5,6,1
17,5,4,6,0
16,6,8,7,1
29,9,8,5,1
28,10,5,6,1
19,8,4,9,1
38,3,6,5,0
35,5,3,4,0
31,3,2,6,0
34,3,2,4,0
23,7,5,6,1
27,5,10,8,1
39,2,5,5,0
28,5,10,9,1
14,5,7,5,1
31,2,3,7,0
34,4,3,6,0
21,9,4,6,1
21,7,7,10,1
21,6,8,10,1
15,8,7,10,1
30,9,10,7,1
16,6,5,9,1
23,9,5,10,1
21,5,4,7,0
40,2,7,3,0
28,10,7,10,1
19,7,5,5,1
40,5,2,4,0
28,6,10,5,1
13,2,3,4,0
35,1,7,3,0
31,5,7,3,1
17,5,5,5,0
23,8,9,6,1
37,2,7,4,0
40,1,3,6,0
23,5,7,7,1
18,6,10,8,1
35,4,5,5,0
22,10,7,6,1
29,9,8,9,1
28,10,8,6,1
27,9,7,8,1
20,6,8,7,1
27,8,10,7,1
16,6,8,5,1
19,7,7,5,1
30,6,7,5,1
16,5,9,9,1
18,8,5,5,1
29,9,4,5,1
16,8,4,10,1
14,1,5,5,0
30,6,9,6,1
25,5,6,9,1
23,6,8,5,1
36,4,3,6,0
31,1,6,7,0
27,6,9,8,1
39,4,3,5,0
13,5,4,3,0
27,10,4,8,1
13,3,6,7,0
23,10,8,10,1
28,8,8,6,1
34,5,5,5,0
17,9,8,7,1
30,9,9,9,1
26,5,9,6,1
28,9,8,8,1
13,3,7,4,0
29,5,10,10,1
32,5,7,4,1
39,2,7,7,0
19,7,6,8,1
38,5,5,7,0
26,7,4,7,1
23,8,5,9,1
40,4,7,4,1
39,4,7,5,1
18,7,7,9,1
36,4,7,5,1
25,7,5,5,1
33,5,6,7,1
31,3,4,3,0
24,8,7,7,1
33,1,6,4,0
16,8,7,10,1
38,3,4,5,0
30,9,8,8,1
19,6,6,10,1
34,1,4,6,0
31,4,4,4,0
12,2,7,7,0
30,9,8,5,1
27,9,10,5,1
28,8,9,9,1
17,8,8,7,1
39,1,2,4,0
32,3,5,6,0
31,3,7,4,0
23,6,10,6,1
21,9,5,8,1
18,8,9,5,1
30,10,8,8,1
12,5,2,6,0
31,1,2,4,0
34,3,2,7,0
26,6,6,6,1
37,2,3,7,0
15,10,7,5,1
39,3,3,3,0
33,2,7,5,0
14,2,3,4,0
40,1,3,4,0
22,5,5,5,0
36,3,6,7,0
31,5,4,6,0
22,9,8,8,1
16,5,7,8,1
37,4,2,6,0
24,9,10,9,1
24,9,6,5,1
33,2,3,4,0
21,6,4,9,0
34,3,2,6,0
29,5,7,8,1
25,6,6,6,1
33,2,4,7,0
15,7,6,8,1
20,5,6,9,1
37,4,3,7,0
39,1,3,6,0
38,3,6,6,0
36,1,7,5,0
23,7,6,6,1
26,6,6,10,1
34,1,7,4,0
17,5,8,5,1
32,4,5,3,0
17,9,9,7,1
13,5,7,7,1
22,10,4,8,1
27,6,7,10,1
32,5,2,5,0
18,7,5,10,1
35,3,3,5,0
